,ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
0,2022-09-01 00:00:00+00:00,35,2,7349,259.11,260.89,255.42,259.73,7202727,MSFT
1,2022-09-02 00:00:00+00:00,35,2,7346,259.9,264.73,254.48,255.93,7883455,MSFT
2,2022-09-06 00:00:00+00:00,35,2,7343,257.79,258.76,251.94,253.25,6792107,MSFT
3,2022-09-07 00:00:00+00:00,35,2,7342,253.96,258.82,252.67,258.09,7544719,MSFT
4,2022-09-08 00:00:00+00:00,35,2,7350,257.93,260.43,254.79,259.74,7166199,MSFT
5,2022-09-09 00:00:00+00:00,35,2,7352,260.31,265.21,260.08,264.46,7899572,MSFT
6,2022-09-12 00:00:00+00:00,35,2,7354,265.26,267.45,264.46,267.09,6369504,MSFT
7,2022-09-13 00:00:00+00:00,35,2,7352,268.21,269.62,251.55,253.35,13018377,MSFT
8,2022-09-14 00:00:00+00:00,35,2,7351,253.97,254.97,249.87,252.85,8003383,MSFT
9,2022-09-15 00:00:00+00:00,35,2,7352,253.03,253.3,243.38,243.5,10094622,MSFT
10,2022-09-16 00:00:00+00:00,35,2,7353,243.03,245.6,242.07,245.6,18176595,MSFT
11,2022-09-19 00:00:00+00:00,35,2,7345,243.14,245.47,240.85,245.47,7397549,MSFT
12,2022-09-20 00:00:00+00:00,35,2,7348,244.51,244.83,239.64,242.45,7643468,MSFT
13,2022-09-21 00:00:00+00:00,35,2,7346,242.62,247.64,237.15,237.26,8263623,MSFT
14,2022-09-22 00:00:00+00:00,35,2,7348,238.76,243.85,237.52,241.28,8427835,MSFT
15,2022-09-23 00:00:00+00:00,35,2,7348,239.79,241.13,235.205,237.8,8476348,MSFT
16,2022-09-26 00:00:00+00:00,35,2,7348,237.74,241.45,235.67,237.86,8718341,MSFT
17,2022-09-27 00:00:00+00:00,35,2,7347,240.24,241.79,234.51,236.32,8040831,MSFT
18,2022-09-28 00:00:00+00:00,35,2,7349,234.31,242.33,232.7,240.7,9810889,MSFT
19,2022-09-29 00:00:00+00:00,35,2,7354,238.0,240.0,234.4,240.0,8702777,MSFT
20,2022-09-30 00:00:00+00:00,35,2,7358,240.35,240.62,232.76,233.7,14509512,MSFT
21,2022-10-03 00:00:00+00:00,35,2,7352,232.8,241.88,232.0,241.85,10754624,MSFT
22,2022-10-04 00:00:00+00:00,35,2,7349,244.5,250.36,244.0,248.2,10505070,MSFT
23,2022-10-05 00:00:00+00:00,35,2,7347,247.32,250.58,244.11,249.8,5924573,MSFT
24,2022-10-06 00:00:00+00:00,35,2,7342,249.2,250.34,245.19,246.0,7215254,MSFT
25,2022-10-07 00:00:00+00:00,35,2,7337,245.53,246.39,233.17,233.88,12478205,MSFT
26,2022-10-10 00:00:00+00:00,35,2,7334,233.96,234.52,226.75,230.2,8527563,MSFT
27,2022-10-11 00:00:00+00:00,35,2,7335,228.07,229.45,224.11,225.5,8890812,MSFT
28,2022-10-12 00:00:00+00:00,35,2,7335,226.3,227.87,223.96,226.35,6247401,MSFT
29,2022-10-13 00:00:00+00:00,35,2,7337,225.75,236.09,218.98,233.5,13037325,MSFT
30,2022-10-14 00:00:00+00:00,35,2,7336,234.24,237.24,227.8,227.95,11292148,MSFT
31,2022-10-17 00:00:00+00:00,35,2,7330,231.54,240.0,230.74,240.0,10311566,MSFT
32,2022-10-18 00:00:00+00:00,35,2,7328,241.74,244.23,235.37,241.7,8189618,MSFT
33,2022-10-19 00:00:00+00:00,35,2,7328,239.44,240.35,234.29,234.3,5780411,MSFT
34,2022-10-20 00:00:00+00:00,35,2,7324,234.4,241.31,233.25,235.0,7177874,MSFT
35,2022-10-21 00:00:00+00:00,35,2,7321,234.3,242.9,233.3,242.42,10988805,MSFT
36,2022-10-24 00:00:00+00:00,35,2,7317,242.28,247.82,241.14,247.65,7728837,MSFT
37,2022-10-25 00:00:00+00:00,35,2,7305,247.25,252.7,230.34,233.85,10337332,MSFT
38,2022-10-26 00:00:00+00:00,35,2,7304,235.42,238.29,230.06,232.4,19998454,MSFT
39,2022-10-27 00:00:00+00:00,35,2,7299,232.33,233.69,220.39,224.7,11148307,MSFT
40,2022-10-28 00:00:00+00:00,35,2,7296,224.02,236.6,223.22,235.59,12512602,MSFT
41,2022-10-31 00:00:00+00:00,35,2,7291,234.79,234.92,231.15,232.7,10180445,MSFT
42,2022-11-01 00:00:00+00:00,35,2,7285,234.0,235.74,227.14,227.8,8233477,MSFT
43,2022-11-02 00:00:00+00:00,35,2,7283,228.17,231.28,219.78,220.0,11964957,MSFT
44,2022-11-03 00:00:00+00:00,35,2,7286,220.5,221.18,213.33,213.8,9812133,MSFT
45,2022-11-04 00:00:00+00:00,35,2,7283,214.97,221.7,212.01,220.92,11086912,MSFT
46,2022-11-07 00:00:00+00:00,35,2,7279,221.43,228.41,221.02,228.06,9085687,MSFT
47,2022-11-08 00:00:00+00:00,35,2,7280,227.54,231.65,225.85,229.79,7854445,MSFT
48,2022-11-09 00:00:00+00:00,35,2,7281,229.25,229.25,224.33,224.74,8690248,MSFT
49,2022-11-10 00:00:00+00:00,35,2,7285,224.97,244.12,223.99,244.0,16934921,MSFT
50,2022-11-11 00:00:00+00:00,35,2,7282,245.57,247.99,241.31,246.98,9636485,MSFT
51,2022-11-14 00:00:00+00:00,35,2,7276,246.35,246.44,239.23,242.24,10420886,MSFT
52,2022-11-15 00:00:00+00:00,35,2,7272,243.43,249.82,240.04,241.5,9682704,MSFT
53,2022-11-16 00:00:00+00:00,35,2,7270,241.62,243.8,240.2,241.92,8374005,MSFT
54,2022-11-17 00:00:00+00:00,35,2,7273,242.08,243.25,237.26,241.9,7471901,MSFT
55,2022-11-18 00:00:00+00:00,35,2,7270,241.77,244.6,239.06,241.3,8939426,MSFT
56,2022-11-21 00:00:00+00:00,35,2,7268,240.33,244.68,239.42,242.1,6670231,MSFT
57,2022-11-22 00:00:00+00:00,35,2,7269,241.92,245.3,240.7,244.75,7066180,MSFT
58,2022-11-23 00:00:00+00:00,35,2,7252,244.99,248.27,244.28,248.0,5939038,MSFT
59,2022-11-25 00:00:00+00:00,35,2,7251,248.15,248.7,246.43,247.7,3310444,MSFT
60,2022-11-28 00:00:00+00:00,35,2,7251,246.5,246.66,240.81,241.11,7221291,MSFT
61,2022-11-29 00:00:00+00:00,35,2,7245,242.83,242.91,238.22,240.1,4738216,MSFT
62,2022-11-30 00:00:00+00:00,35,2,7245,241.28,255.68,239.875,255.18,19589436,MSFT
63,2022-12-01 00:00:00+00:00,35,2,7243,254.77,256.12,250.91,254.29,9144795,MSFT
64,2022-12-02 00:00:00+00:00,35,2,7236,254.23,256.06,248.12,254.87,6810194,MSFT
65,2022-12-05 00:00:00+00:00,35,2,7236,254.71,254.71,248.05,250.37,6947339,MSFT
66,2022-12-06 00:00:00+00:00,35,2,7235,250.35,251.86,243.78,245.24,7880272,MSFT
67,2022-12-07 00:00:00+00:00,35,2,7236,245.4,246.15,242.0,244.5,7660559,MSFT
68,2022-12-08 00:00:00+00:00,35,2,7228,244.82,248.73,243.06,247.0,6411365,MSFT
69,2022-12-09 00:00:00+00:00,35,2,7224,247.63,248.95,243.5,244.98,7245547,MSFT
70,2022-12-12 00:00:00+00:00,35,2,7215,245.26,252.74,244.71,252.72,8850814,MSFT
71,2022-12-13 00:00:00+00:00,35,2,7210,252.71,265.0,252.47,257.5,13291436,MSFT
72,2022-12-14 00:00:00+00:00,35,2,7207,257.5,262.58,254.31,258.0,11202275,MSFT
73,2022-12-15 00:00:00+00:00,35,2,7194,255.34,255.41,247.34,249.22,11736664,MSFT
74,2022-12-16 00:00:00+00:00,35,2,7176,246.93,249.83,243.55,245.19,45572688,MSFT
75,2022-12-19 00:00:00+00:00,35,2,7166,246.27,246.62,238.7,241.5,9871609,MSFT
76,2022-12-20 00:00:00+00:00,35,2,7166,239.8,242.92,238.41,242.5,7351328,MSFT
77,2022-12-21 00:00:00+00:00,35,2,7160,243.0,245.62,240.12,244.5,7377695,MSFT
78,2022-12-22 00:00:00+00:00,35,2,7143,245.0,245.04,233.86,237.57,10253603,MSFT
79,2022-12-23 00:00:00+00:00,35,2,7132,237.87,240.72,233.93,238.3,5930294,MSFT
80,2022-12-27 00:00:00+00:00,35,2,7116,239.98,240.23,235.83,237.0,5736574,MSFT
81,2022-12-28 00:00:00+00:00,35,2,7107,237.08,239.72,234.17,234.8,5365440,MSFT
82,2022-12-29 00:00:00+00:00,35,2,7103,235.8,241.94,235.12,240.75,6464215,MSFT
83,2022-12-30 00:00:00+00:00,35,2,7091,238.96,240.6,236.66,239.97,7854200,MSFT
84,2023-01-03 00:00:00+00:00,35,2,7084,242.03,245.75,237.4,239.82,8429143,MSFT
85,2023-01-04 00:00:00+00:00,35,2,7081,236.29,237.95,225.96,228.59,14979948,MSFT
86,2023-01-05 00:00:00+00:00,35,2,7078,227.83,229.89,221.77,222.45,11288236,MSFT
87,2023-01-06 00:00:00+00:00,35,2,7077,222.86,225.99,219.35,225.1,13894384,MSFT
88,2023-01-09 00:00:00+00:00,35,2,7072,225.34,231.23,225.22,227.0,9150915,MSFT
89,2023-01-10 00:00:00+00:00,35,2,7077,227.53,231.3,225.72,228.9,7999975,MSFT
90,2023-01-11 00:00:00+00:00,35,2,7079,229.1,235.89,228.63,235.5,9981126,MSFT
91,2023-01-12 00:00:00+00:00,35,2,7076,235.63,239.9,231.0,238.46,8945966,MSFT
92,2023-01-13 00:00:00+00:00,35,2,7074,238.65,239.52,234.95,239.02,6318144,MSFT
93,2023-01-17 00:00:00+00:00,35,2,7062,238.92,240.91,235.61,239.27,10195280,MSFT
94,2023-01-18 00:00:00+00:00,35,2,7061,240.3,244.0,235.1,235.57,9972163,MSFT
95,2023-01-19 00:00:00+00:00,35,2,7065,235.45,235.75,230.68,232.2,9590541,MSFT
96,2023-01-20 00:00:00+00:00,35,2,7061,232.53,240.73,231.75,240.27,14560792,MSFT
97,2023-01-23 00:00:00+00:00,35,2,7058,240.47,245.165,239.62,242.4,10019704,MSFT
98,2023-01-24 00:00:00+00:00,35,2,7056,242.88,254.79,238.7,240.38,9811428,MSFT
99,2023-01-25 00:00:00+00:00,35,2,7056,239.08,243.3,230.9,241.04,13746398,MSFT
100,2023-01-26 00:00:00+00:00,35,2,7060,241.42,248.24,240.55,247.02,9654227,MSFT
101,2023-01-27 00:00:00+00:00,35,2,7057,246.99,249.82,246.28,248.11,8528392,MSFT
102,2023-01-30 00:00:00+00:00,35,2,7052,246.05,246.2,242.19,243.29,8164718,MSFT
103,2023-01-31 00:00:00+00:00,35,2,7050,241.91,247.95,240.92,247.15,10078066,MSFT
104,2023-02-01 00:00:00+00:00,35,2,7054,247.51,255.18,245.47,252.3,11254539,MSFT
105,2023-02-02 00:00:00+00:00,35,2,7052,254.16,265.17,253.49,261.59,13280469,MSFT
106,2023-02-03 00:00:00+00:00,35,2,7045,260.73,264.2,257.1,258.22,10557659,MSFT
107,2023-02-06 00:00:00+00:00,35,2,7046,256.92,258.29,254.78,257.13,6741417,MSFT
108,2023-02-07 00:00:00+00:00,35,2,7047,257.52,270.17,257.38,269.28,15003404,MSFT
109,2023-02-08 00:00:00+00:00,35,2,7047,270.28,276.76,266.21,267.5,15324916,MSFT
110,2023-02-09 00:00:00+00:00,35,2,7047,269.65,274.21,262.8,263.44,11145009,MSFT
111,2023-02-10 00:00:00+00:00,35,2,7048,263.88,264.5,258.74,264.17,8065470,MSFT
112,2023-02-13 00:00:00+00:00,35,2,7046,264.33,274.61,264.33,271.38,10950649,MSFT
113,2023-02-14 00:00:00+00:00,35,2,7044,272.12,275.02,269.28,271.61,11281812,MSFT
114,2023-02-15 00:00:00+00:00,35,2,7035,271.6,271.97,266.17,269.33,7851531,MSFT
115,2023-02-16 00:00:00+00:00,35,2,7026,269.58,270.46,260.33,260.65,10357448,MSFT
116,2023-02-17 00:00:00+00:00,35,2,7025,260.15,261.95,255.99,258.43,9878552,MSFT
117,2023-02-21 00:00:00+00:00,35,2,7020,255.62,257.19,251.59,253.0,11194229,MSFT
118,2023-02-22 00:00:00+00:00,35,2,7018,254.37,254.37,250.35,252.55,8300898,MSFT
119,2023-02-23 00:00:00+00:00,35,2,7017,252.94,256.85,250.47,254.55,8837125,MSFT
120,2023-02-24 00:00:00+00:00,35,2,7016,253.9,253.99,248.1,249.15,8378995,MSFT
121,2023-02-27 00:00:00+00:00,35,2,7004,250.0,252.86,249.39,250.2,6260077,MSFT
122,2023-02-28 00:00:00+00:00,35,2,7004,250.29,251.49,248.71,248.83,7390000,MSFT
123,2023-03-01 00:00:00+00:00,35,2,7010,250.78,252.15,245.79,247.24,9259182,MSFT
124,2023-03-02 00:00:00+00:00,35,2,7006,246.25,251.4,243.25,250.98,9049287,MSFT
125,2023-03-03 00:00:00+00:00,35,2,7003,251.31,255.61,250.72,255.5,10109260,MSFT
126,2023-03-06 00:00:00+00:00,35,2,6997,256.0,260.12,254.64,256.85,8291200,MSFT
127,2023-03-07 00:00:00+00:00,35,2,6993,257.5,258.38,253.39,254.63,7233919,MSFT
128,2023-03-08 00:00:00+00:00,35,2,6984,254.49,255.55,250.81,253.49,6017897,MSFT
129,2023-03-09 00:00:00+00:00,35,2,6986,252.6,259.55,251.11,251.66,8351101,MSFT
130,2023-03-10 00:00:00+00:00,35,2,6982,251.47,254.91,247.6,248.98,9960277,MSFT
131,2023-03-13 00:00:00+00:00,35,2,6966,252.0,257.91,245.0,255.18,11497949,MSFT
132,2023-03-14 00:00:00+00:00,35,2,6968,255.19,262.0,251.6,260.5,12786253,MSFT
133,2023-03-15 00:00:00+00:00,35,2,6962,261.0,266.47,255.84,266.1,15293440,MSFT
134,2023-03-16 00:00:00+00:00,35,2,6955,266.97,276.58,263.28,276.4,17192021,MSFT
135,2023-03-17 00:00:00+00:00,35,2,6956,276.41,283.32,276.3,279.26,31200272,MSFT
136,2023-03-20 00:00:00+00:00,35,2,6951,279.23,281.39,269.86,272.0,13182645,MSFT
137,2023-03-21 00:00:00+00:00,35,2,6948,272.5,275.36,269.52,273.01,11233301,MSFT
138,2023-03-22 00:00:00+00:00,35,2,6951,273.08,281.04,271.21,272.8,10417591,MSFT
139,2023-03-23 00:00:00+00:00,35,2,6953,274.99,281.06,274.42,277.2,10819778,MSFT
140,2023-03-24 00:00:00+00:00,35,2,6947,278.89,281.0,274.85,280.92,8788404,MSFT
141,2023-03-27 00:00:00+00:00,35,2,6944,280.94,281.88,275.52,276.55,8149746,MSFT
142,2023-03-28 00:00:00+00:00,35,2,6943,275.5,276.38,272.04,276.1,6775438,MSFT
143,2023-03-29 00:00:00+00:00,35,2,6945,276.98,281.49,276.72,280.88,9293749,MSFT
144,2023-03-30 00:00:00+00:00,35,2,6949,281.12,284.72,281.0,284.24,7348538,MSFT
145,2023-03-31 00:00:00+00:00,35,2,6929,284.1,288.81,283.0,288.54,12421133,MSFT
146,2023-04-03 00:00:00+00:00,35,2,6931,286.56,288.27,283.95,286.75,7352781,MSFT
147,2023-04-04 00:00:00+00:00,35,2,6931,286.64,290.46,285.68,287.87,7633993,MSFT
148,2023-04-05 00:00:00+00:00,35,2,6928,287.55,287.64,282.95,284.17,6411387,MSFT
149,2023-04-06 00:00:00+00:00,35,2,6925,284.48,292.08,281.01,291.6,9193494,MSFT
150,2023-04-10 00:00:00+00:00,35,2,6922,291.47,291.85,284.74,288.71,5799548,MSFT
151,2023-04-11 00:00:00+00:00,35,2,6922,288.75,289.39,281.64,282.94,7838250,MSFT
152,2023-04-12 00:00:00+00:00,35,2,6923,282.3,287.27,281.95,282.67,7914132,MSFT
153,2023-04-13 00:00:00+00:00,35,2,6920,283.49,290.36,282.41,289.71,7690913,MSFT
154,2023-04-14 00:00:00+00:00,35,2,6917,289.9,290.09,283.7,286.65,6169941,MSFT
155,2023-04-17 00:00:00+00:00,35,2,6909,287.38,292.5,286.2,288.17,6304086,MSFT
156,2023-04-18 00:00:00+00:00,35,2,6911,288.68,292.78,287.02,287.9,6443398,MSFT
157,2023-04-19 00:00:00+00:00,35,2,6911,287.38,289.05,284.55,287.27,4873185,MSFT
158,2023-04-20 00:00:00+00:00,35,2,6914,286.35,289.03,284.54,285.94,6871213,MSFT
159,2023-04-21 00:00:00+00:00,35,2,6914,285.94,286.74,283.06,285.34,7370675,MSFT
160,2023-04-24 00:00:00+00:00,35,2,6912,284.75,285.72,278.73,281.16,7868816,MSFT
161,2023-04-25 00:00:00+00:00,35,2,6904,280.3,301.99,275.19,298.68,13010580,MSFT
162,2023-04-26 00:00:00+00:00,35,2,6905,296.1,299.56,292.74,295.89,17244208,MSFT
163,2023-04-27 00:00:00+00:00,35,2,6899,296.72,305.66,294.6,304.57,13399091,MSFT
164,2023-04-28 00:00:00+00:00,35,2,6897,304.45,308.93,302.97,307.6,11214957,MSFT
165,2023-05-01 00:00:00+00:00,35,2,6897,307.2,308.6,305.13,305.45,6074158,MSFT
166,2023-05-02 00:00:00+00:00,35,2,6897,305.99,309.16,303.91,306.24,8477541,MSFT
167,2023-05-03 00:00:00+00:00,35,2,6890,306.2,308.62,303.7,304.76,6854260,MSFT
168,2023-05-04 00:00:00+00:00,35,2,6891,306.62,307.76,303.4,306.4,6050641,MSFT
169,2023-05-05 00:00:00+00:00,35,2,6886,306.22,311.96,304.28,310.62,8678945,MSFT
170,2023-05-08 00:00:00+00:00,35,2,6886,310.42,310.77,306.09,307.85,5937444,MSFT
171,2023-05-09 00:00:00+00:00,35,2,6884,307.7,310.03,306.32,307.3,5871624,MSFT
172,2023-05-10 00:00:00+00:00,35,2,6884,306.28,313.0,305.2,312.3,8608692,MSFT
173,2023-05-11 00:00:00+00:00,35,2,6888,312.34,313.18,306.26,310.0,8731697,MSFT
174,2023-05-12 00:00:00+00:00,35,2,6889,310.2,310.65,306.6,308.33,6441561,MSFT
175,2023-05-15 00:00:00+00:00,35,2,6884,309.08,309.905,307.6,309.45,5248710,MSFT
176,2023-05-16 00:00:00+00:00,35,2,6884,309.78,313.71,308.91,311.6,7729096,MSFT
177,2023-05-17 00:00:00+00:00,35,2,6885,311.63,314.43,310.74,313.95,9013497,MSFT
178,2023-05-18 00:00:00+00:00,35,2,6883,314.12,320.0,313.72,319.15,8991148,MSFT
179,2023-05-19 00:00:00+00:00,35,2,6879,319.35,319.5,316.0,317.85,8308886,MSFT
180,2023-05-22 00:00:00+00:00,35,2,6880,318.5,322.59,317.85,322.1,6347533,MSFT
181,2023-05-23 00:00:00+00:00,35,2,6882,321.93,323.29,315.11,315.95,8767658,MSFT
182,2023-05-24 00:00:00+00:00,35,2,6880,315.0,321.2,312.61,319.08,6689496,MSFT
183,2023-05-25 00:00:00+00:00,35,2,6882,318.51,326.9,318.5,323.95,12184290,MSFT
184,2023-05-26 00:00:00+00:00,35,2,6882,324.94,334.18,323.49,334.18,11530755,MSFT
185,2023-05-30 00:00:00+00:00,35,2,6882,335.62,338.27,330.54,333.0,10121528,MSFT
186,2023-05-31 00:00:00+00:00,35,2,6881,331.0,335.93,327.35,329.35,18810555,MSFT
187,2023-06-01 00:00:00+00:00,35,2,6876,328.96,333.52,324.71,333.21,7976256,MSFT
188,2023-06-02 00:00:00+00:00,35,2,6873,333.63,337.49,330.9,335.12,7275781,MSFT
189,2023-06-05 00:00:00+00:00,35,2,6872,334.99,338.55,333.0,335.48,6141315,MSFT
190,2023-06-06 00:00:00+00:00,35,2,6868,335.73,336.43,332.18,333.26,6326950,MSFT
191,2023-06-07 00:00:00+00:00,35,2,6867,332.97,334.46,322.07,322.58,12687528,MSFT
192,2023-06-08 00:00:00+00:00,35,2,6866,322.06,326.63,321.26,323.6,7840615,MSFT
193,2023-06-09 00:00:00+00:00,35,2,6849,324.0,329.99,323.19,327.2,7896147,MSFT
194,2023-06-12 00:00:00+00:00,35,2,6853,328.46,334.2,325.16,334.0,9320726,MSFT
195,2023-06-13 00:00:00+00:00,35,2,6854,335.24,336.98,330.4,333.68,7309023,MSFT
196,2023-06-14 00:00:00+00:00,35,2,6857,334.79,339.04,332.83,338.11,9119874,MSFT
197,2023-06-15 00:00:00+00:00,35,2,6855,337.37,349.95,334.58,349.0,11910627,MSFT
198,2023-06-16 00:00:00+00:00,35,2,6848,348.78,352.25,341.96,343.0,22964694,MSFT
199,2023-06-20 00:00:00+00:00,35,2,6840,341.79,343.18,335.87,338.47,8690691,MSFT
200,2023-06-21 00:00:00+00:00,35,2,6845,337.65,337.81,332.08,334.62,9504035,MSFT
201,2023-06-22 00:00:00+00:00,35,2,6845,333.1,340.5,333.01,339.71,7093224,MSFT
202,2023-06-23 00:00:00+00:00,35,2,6844,338.46,338.46,333.45,334.88,8948116,MSFT
203,2023-06-26 00:00:00+00:00,35,2,6837,334.86,336.11,328.45,329.84,7252748,MSFT
204,2023-06-27 00:00:00+00:00,35,2,6841,329.86,336.15,328.43,334.36,7871029,MSFT
205,2023-06-28 00:00:00+00:00,35,2,6846,334.57,337.98,333.81,336.41,6540314,MSFT
206,2023-06-29 00:00:00+00:00,35,2,6851,335.99,336.78,332.615,335.15,5673307,MSFT
207,2023-06-30 00:00:00+00:00,35,2,6854,335.67,342.74,335.36,340.75,11159377,MSFT
208,2023-07-03 00:00:00+00:00,35,2,6849,340.72,341.41,336.58,338.0,3888271,MSFT
209,2023-07-05 00:00:00+00:00,35,2,6846,336.71,341.65,334.75,337.85,6393861,MSFT
210,2023-07-06 00:00:00+00:00,35,2,6843,338.23,342.99,335.5,341.32,8288548,MSFT
211,2023-07-07 00:00:00+00:00,35,2,6840,340.8,343.0,337.0,337.39,7101707,MSFT
212,2023-07-10 00:00:00+00:00,35,2,6833,334.99,335.83,327.59,331.19,10453756,MSFT
213,2023-07-11 00:00:00+00:00,35,2,6830,332.48,333.2,327.0,332.58,7436403,MSFT
214,2023-07-12 00:00:00+00:00,35,2,6826,333.21,341.66,332.18,337.6,9415293,MSFT
215,2023-07-13 00:00:00+00:00,35,2,6827,339.12,343.74,338.14,342.68,6636714,MSFT
216,2023-07-14 00:00:00+00:00,35,2,6827,346.29,351.43,344.31,346.8,8077709,MSFT
217,2023-07-17 00:00:00+00:00,35,2,6824,347.1,347.88,342.19,344.89,7293477,MSFT
218,2023-07-18 00:00:00+00:00,35,2,6823,345.11,366.78,342.17,360.77,17281415,MSFT
219,2023-07-19 00:00:00+00:00,35,2,6822,361.0,362.96,352.44,353.4,9903817,MSFT
220,2023-07-20 00:00:00+00:00,35,2,6818,353.13,357.415,345.36,346.41,10648595,MSFT
221,2023-07-21 00:00:00+00:00,35,2,6815,348.34,350.6,340.86,344.8,35181557,MSFT
222,2023-07-24 00:00:00+00:00,35,2,6814,345.7,346.95,342.32,346.2,6419737,MSFT
223,2023-07-25 00:00:00+00:00,35,2,6812,346.82,354.9,335.0,338.0,11505525,MSFT
224,2023-07-26 00:00:00+00:00,35,2,6810,338.33,344.66,333.11,338.01,14517782,MSFT
225,2023-07-27 00:00:00+00:00,35,2,6808,340.15,341.33,329.04,330.15,11156731,MSFT
226,2023-07-28 00:00:00+00:00,35,2,6805,332.82,340.0,332.5,338.1,8892137,MSFT
227,2023-07-31 00:00:00+00:00,35,2,6803,338.02,338.2,333.36,336.1,8688321,MSFT
228,2023-08-01 00:00:00+00:00,35,2,6810,335.55,338.53,333.27,334.39,6164414,MSFT
229,2023-08-02 00:00:00+00:00,35,2,6807,332.61,334.45,326.2,328.4,9377713,MSFT
230,2023-08-03 00:00:00+00:00,35,2,6808,325.77,329.86,324.85,329.62,6105821,MSFT
231,2023-08-04 00:00:00+00:00,35,2,6805,329.78,335.15,327.24,327.65,7791340,MSFT
232,2023-08-07 00:00:00+00:00,35,2,6799,330.19,331.12,327.52,330.45,4753143,MSFT
233,2023-08-08 00:00:00+00:00,35,2,6800,329.8,330.22,322.99,325.65,6860245,MSFT
234,2023-08-09 00:00:00+00:00,35,2,6800,326.94,327.7,321.05,322.93,6792584,MSFT
235,2023-08-10 00:00:00+00:00,35,2,6799,324.36,328.28,321.17,323.5,5047083,MSFT
236,2023-08-11 00:00:00+00:00,35,2,6800,323.48,323.48,319.22,320.75,6174181,MSFT
237,2023-08-14 00:00:00+00:00,35,2,6796,323.29,324.68,320.11,324.68,5551032,MSFT
238,2023-08-15 00:00:00+00:00,35,2,6797,322.73,325.09,320.9,321.96,5193337,MSFT
239,2023-08-16 00:00:00+00:00,35,2,6795,322.47,324.43,319.31,319.31,6487573,MSFT
240,2023-08-17 00:00:00+00:00,35,2,6799,320.11,321.85,315.59,315.66,6850978,MSFT
241,2023-08-18 00:00:00+00:00,35,2,6797,315.94,318.38,311.56,317.0,8345797,MSFT
242,2023-08-21 00:00:00+00:00,35,2,6801,317.33,322.77,316.99,321.37,6499579,MSFT
243,2023-08-22 00:00:00+00:00,35,2,6803,323.0,326.2,321.47,322.31,5201207,MSFT
244,2023-08-23 00:00:00+00:00,35,2,6806,324.2,335.15,322.93,332.89,6457708,MSFT
245,2023-08-24 00:00:00+00:00,35,2,6797,333.01,334.7,318.28,319.62,7948296,MSFT
246,2023-08-25 00:00:00+00:00,35,2,6795,320.0,325.4,318.81,322.94,7515942,MSFT
247,2023-08-28 00:00:00+00:00,35,2,6794,322.86,326.15,321.73,323.9,4570347,MSFT
248,2023-08-29 00:00:00+00:00,35,2,6793,323.77,329.27,321.55,329.06,6892126,MSFT
249,2023-08-30 00:00:00+00:00,35,2,6794,328.99,329.83,326.44,329.09,4883575,MSFT
250,2023-08-31 00:00:00+00:00,35,2,6792,329.77,330.9,326.78,328.3,10487392,MSFT
251,2023-09-01 00:00:00+00:00,35,2,6786,328.31,332.0,326.77,328.05,5498760,MSFT
